"ts","button","x","y","window"
"2026-06-20 14:53:47.262","ESQ","569","536","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:49.087","ESQ","818","489","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:49.415","ESQ","818","489","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:51.024","ESQ","1149","481","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:52.458","ESQ","1148","483","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:52.801","ESQ","1148","483","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:54.534","ESQ","1347","484","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:54.851","ESQ","1347","484","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:56.395","ESQ","1086","727","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:57.769","ESQ","1210","732","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:58.844","ESQ","1210","732","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:08.107","ESQ","919","830","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:08.901","ESQ","986","750",""
"2026-06-20 14:54:17.109","ESQ","1226","374","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:22.407","ESQ","756","428","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:23.484","ESQ","1010","420","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:25.574","ESQ","184","377","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:29.419","ESQ","853","778","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:29.576","ESQ","853","778","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:30.902","ESQ","910","759","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:31.643","ESQ","921","774","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:32.656","ESQ","805","442","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:33.394","ESQ","1049","445","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:35.141","ESQ","984","742","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:37.622","ESQ","359","470","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:37.954","ESQ","359","470","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:40.501","ESQ","323","491","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:40.595","ESQ","323","491","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:40.863","ESQ","323","491","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:43.157","ESQ","477","593","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:44.407","ESQ","954","722","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:44.770","ESQ","954","722","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:45.129","ESQ","954","722","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:45.270","ESQ","954","722","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:46.556","ESQ","1208","729","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:48.293","ESQ","1208","729","Drone Avionics Console - Google Chrome"
"2026-06-20 14:54:49.578","ESQ","885","489","Drone Avionics Console - Google Chrome"
"2026-06-20 14:55:20.907","ESQ","1051","566","Drone Avionics Console - Google Chrome"
"2026-06-20 14:55:41.893","ESQ","504","398","Drone Avionics Console - Google Chrome"
"2026-06-20 14:55:43.676","ESQ","871","535","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:11.878","ESQ","1102","438","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:14.316","ESQ","829","485","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:14.427","ESQ","829","485","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:18.145","ESQ","1058","498","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:18.316","ESQ","1058","498","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:27.623","ESQ","1309","482","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:34.371","ESQ","585","537","Drone Avionics Console - Google Chrome"
"2026-06-20 14:56:34.509","ESQ","585","537","Drone Avionics Console - Google Chrome"
"2026-06-20 14:59:55.685","ESQ","471","400","Drone Avionics Console - Google Chrome"
"2026-06-20 15:00:04.915","ESQ","1491","528","Drone Avionics Console - Google Chrome"
"2026-06-20 15:00:07.797","ESQ","1491","528","Drone Avionics Console - Google Chrome"
"2026-06-20 15:00:13.832","ESQ","879","528","Drone Avionics Console - Google Chrome"
"2026-06-20 15:02:10.363","ESQ","1360","842",""
"2026-06-20 15:02:13.546","ESQ","1262","454","Configurações rápidas"
"2026-06-20 15:02:16.425","ESQ","1242","481","Configurações rápidas"
"2026-06-20 15:02:19.410","ESQ","1422","618","Configurações rápidas"
"2026-06-20 15:02:42.414","ESQ","1146","50","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 15:03:04.704","ESQ","1505","799","? Em português"
"2026-06-20 15:05:26.661","ESQ","1022","347","Drone Avionics Console - Google Chrome"
"2026-06-20 15:05:31.072","ESQ","853","530","Drone Avionics Console - Google Chrome"
"2026-06-20 15:05:47.293","ESQ","1430","534","Drone Avionics Console - Google Chrome"
"2026-06-20 15:05:52.345","ESQ","682","69","Drone Avionics Console - Google Chrome"
"2026-06-20 15:05:56.622","ESQ","505","352","Drone Avionics Console - Google Chrome"
"2026-06-20 15:06:51.262","ESQ","854","835","Drone Avionics Console - Google Chrome"
"2026-06-20 15:06:52.778","ESQ","342","156","monitor – Explorador de Arquivos"
"2026-06-20 15:06:53.419","ESQ","354","170","monitor – Explorador de Arquivos"
"2026-06-20 15:06:53.747","ESQ","354","170","logs – Explorador de Arquivos"
"2026-06-20 15:06:54.810","ESQ","544","285","logs – Explorador de Arquivos"
"2026-06-20 15:06:56.185","ESQ","594","238","logs – Explorador de Arquivos"
"2026-06-20 15:06:57.432","ESQ","483","174","logs – Explorador de Arquivos"
"2026-06-20 15:07:00.007","ESQ","684","376","telemetry_20260620_145003.csv - Excel"
"2026-06-20 15:07:08.115","ESQ","742","390","telemetry_20260620_145003.csv - Excel"
"2026-06-20 15:07:09.552","ESQ","1527","10","telemetry_20260620_145003.csv - Excel"
"2026-06-20 15:07:11.063","ESQ","878","578","Pasta1 - Excel"
"2026-06-20 15:07:12.885","ESQ","812","838",""
"2026-06-20 15:07:15.663","ESQ","753","357","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:16.748","ESQ","1049","366","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:21.386","ESQ","934","714","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:22.437","ESQ","1232","703","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:26.694","ESQ","157","433","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:30.297","ESQ","1223","708","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:36.113","ESQ","1378","702","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:36.635","ESQ","1378","702","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:38.033","ESQ","1082","697","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:38.943","ESQ","1224","716","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:40.720","ESQ","400","438","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:41.048","ESQ","400","438","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:44.037","ESQ","1202","719","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:44.967","ESQ","1202","719","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:45.078","ESQ","1202","719","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:45.314","ESQ","1202","719","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:45.882","ESQ","1069","717","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:46.845","ESQ","1063","746","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:47.282","ESQ","1063","746","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:48.217","ESQ","1216","701","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:48.543","ESQ","1216","701","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:48.668","ESQ","1216","701","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:51.059","ESQ","216","362","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:53.173","ESQ","443","798","Drone Avionics Console - Google Chrome"
"2026-06-20 15:07:59.700","ESQ","1044","443","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:01.963","ESQ","1051","738","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:03.493","ESQ","1252","745","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:06.561","ESQ","281","491","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:06.922","ESQ","281","491","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:13.116","ESQ","537","530","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:13.290","ESQ","537","530","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:15.660","ESQ","361","572","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:17.110","ESQ","1209","728","Drone Avionics Console - Google Chrome"
"2026-06-20 15:08:18.979","ESQ","1209","728","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:05.026","ESQ","1250","780","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:06.782","ESQ","851","843",""
"2026-06-20 15:09:10.732","ESQ","831","55","logs – Explorador de Arquivos"
"2026-06-20 15:09:12.307","ESQ","422","206","monitor – Explorador de Arquivos"
"2026-06-20 15:09:15.767","ESQ","820","838","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 15:09:18.279","ESQ","1201","730","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:22.551","ESQ","630","530","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:29.993","ESQ","917","579","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:30.868","ESQ","841","482","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:31.230","ESQ","841","482","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:32.964","ESQ","1135","502","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:33.625","ESQ","1133","490","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:35.939","ESQ","1342","474","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:38.460","ESQ","899","748","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:42.081","ESQ","1205","742","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:02.821","ESQ","1283","734","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:13.856","ESQ","1326","731","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:18.259","ESQ","970","741","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:20.454","ESQ","970","739","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:25.904","ESQ","968","734","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:42.923","ESQ","75","494","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:43.038","ESQ","75","494","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:43.300","ESQ","75","494","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:47.804","ESQ","931","560","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:48.593","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:49.730","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:49.885","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:11:11.288","ESQ","1255","773","Drone Avionics Console - Google Chrome"
"2026-06-20 15:11:17.181","ESQ","939","824",""
"2026-06-20 15:11:28.708","ESQ","896","843",""
"2026-06-20 15:11:30.347","ESQ","1050","738",""
"2026-06-20 15:11:32.144","ESQ","1271","142","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 15:11:33.930","ESQ","898","846",""
"2026-06-20 15:11:34.684","ESQ","980","774",""
"2026-06-20 15:11:37.285","ESQ","1530","226","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 15:11:41.251","ESQ","1524","4","C:\WINDOWS\system32\cmd.exe"
