"ts","button","x","y","window"
"2026-06-20 14:50:09.620","ESQ","790","837","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 14:50:11.529","ESQ","475","363","Drone Avionics Console - Google Chrome"
"2026-06-20 14:50:13.154","ESQ","864","400","Drone Avionics Console - Google Chrome"
"2026-06-20 14:50:25.626","ESQ","1068","357","Drone Avionics Console - Google Chrome"
"2026-06-20 14:50:28.223","ESQ","878","838","Drone Avionics Console - Google Chrome"
"2026-06-20 14:50:29.213","ESQ","815","754",""
"2026-06-20 14:50:43.766","ESQ","932","734",""
"2026-06-20 14:50:46.422","ESQ","183","423","Drone Avionics Console - Opera"
"2026-06-20 14:50:46.576","ESQ","183","423","Drone Avionics Console - Opera"
"2026-06-20 14:50:52.099","ESQ","224","545","Drone Avionics Console - Opera"
"2026-06-20 14:51:02.825","ESQ","935","843","Drone Avionics Console - Opera"
"2026-06-20 14:51:04.274","ESQ","924","849","? Em português"
"2026-06-20 14:51:07.747","ESQ","795","854",""
"2026-06-20 14:51:09.379","ESQ","1221","706","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:12.143","ESQ","1221","706","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:14.589","ESQ","1231","711","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:17.919","ESQ","530","424","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:18.259","ESQ","530","424","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:21.582","ESQ","1209","726","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:23.591","ESQ","575","474","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:23.777","ESQ","575","474","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:25.963","ESQ","842","442","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:26.089","ESQ","842","442","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:27.866","ESQ","1146","436","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:28.196","ESQ","1146","436","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:29.923","ESQ","1357","438","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:30.109","ESQ","1357","438","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:31.906","ESQ","987","728","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:33.385","ESQ","1177","711","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:35.716","ESQ","1212","701","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:36.998","ESQ","998","715","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:37.248","ESQ","998","715","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:37.658","ESQ","998","715","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:39.366","ESQ","442","436","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:39.524","ESQ","442","436","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:42.679","ESQ","820","462","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:43.839","ESQ","1214","711","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:44.854","ESQ","1122","716","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:45.323","ESQ","1122","716","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:46.059","ESQ","1222","730","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:46.713","ESQ","1234","713","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:46.915","ESQ","1234","713","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:47.165","ESQ","1234","713","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:47.461","ESQ","1234","713","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:49.272","ESQ","174","367","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:53.305","ESQ","348","787","Drone Avionics Console - Google Chrome"
"2026-06-20 14:51:55.188","ESQ","384","734","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:03.778","ESQ","477","433","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:05.239","ESQ","1115","417","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:06.828","ESQ","989","734","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:08.926","ESQ","1176","743","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:26.519","ESQ","982","738","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:27.750","ESQ","982","738","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:28.689","ESQ","982","738","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:30.097","ESQ","1279","736","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:30.901","ESQ","1279","736","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:31.073","ESQ","1279","736","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:31.415","ESQ","1279","736","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:31.760","ESQ","1279","736","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:32.717","ESQ","1050","734","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:32.856","ESQ","1050","734","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:33.916","ESQ","1014","786","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:35.228","ESQ","1018","738","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:37.946","ESQ","1250","738","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:39.255","ESQ","157","394","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:42.423","ESQ","510","463","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:43.223","ESQ","795","449","Drone Avionics Console - Google Chrome"
"2026-06-20 14:52:44.879","ESQ","1047","413","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:00.122","ESQ","934","730","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:11.688","ESQ","857","823",""
"2026-06-20 14:53:12.413","ESQ","867","830",""
"2026-06-20 14:53:13.471","ESQ","1010","718",""
"2026-06-20 14:53:30.270","ESQ","944","727",""
"2026-06-20 14:53:33.900","ESQ","1516","24","Drone Avionics Console - Opera"
"2026-06-20 14:53:35.314","ESQ","850","454","Sair do Opera?"
"2026-06-20 14:53:37.408","ESQ","826","846","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 14:53:42.627","ESQ","1226","729","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:44.538","ESQ","1226","729","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:46.904","ESQ","569","536","Drone Avionics Console - Google Chrome"
"2026-06-20 14:53:47.058","ESQ","569","536","Drone Avionics Console - Google Chrome"
