"ts","elapsed_s","ok","latency_ms","mouse_x","mouse_y","window","clicks_since","controlEnabled","failsafe","failsafeLatched","commandAgeMs","arming","sp_throttle","sp_roll","sp_pitch","sp_yaw","st_roll","st_pitch","st_yaw","rate_roll","rate_pitch","rate_yaw","corr_roll","corr_pitch","corr_yaw","m1","m2","m3","m4","mpu_online","mpu_valid","mpu_calib","mpu_calibPct","ax","ay","az","gx","gy","gz","att_roll","att_pitch","att_yaw","accelNormG","mpu_temp","mpu_ageMs","bmp_online","bmp_altM","bmp_refReady","gps_valid","gps_sats"
"2026-06-20 15:09:13.800","0,24","True","219,5","971","686","C:\WINDOWS\system32\cmd.exe","0","False","EMERGENCY_STOP","False","8853","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0694","-0,0027","0,9984","-0,012","-0,019","-0,171","-0,19","3,98","85,16","1,001","30,02","8","True","1,37","True","False","0"
"2026-06-20 15:09:14.318","0,67","True","131","870","790","C:\WINDOWS\system32\cmd.exe","0","False","EMERGENCY_STOP","False","9343","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0697","-0,0032","0,9987","0,026","-0,050","-0,110","-0,19","3,97","85,15","1,002","30,05","5","True","1,35","True","False","0"
"2026-06-20 15:09:14.699","1,05","True","131,5","835","822","C:\WINDOWS\system32\cmd.exe","0","False","EMERGENCY_STOP","False","9725","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0688","-0,0036","0,9984","0,049","0,027","-0,132","-0,19","3,97","85,08","1,000","30,03","9","True","1,35","True","False","0"
"2026-06-20 15:09:15.044","1,39","True","127,8","824","830","C:\WINDOWS\system32\cmd.exe","0","False","EMERGENCY_STOP","False","10070","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0680","-0,0029","0,9982","0,003","-0,050","-0,125","-0,19","3,96","85,08","1,000","30,04","5","True","1,36","True","False","0"
"2026-06-20 15:09:15.391","1,76","True","146,5","820","838","C:\WINDOWS\system32\cmd.exe","0","False","EMERGENCY_STOP","False","10416","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0697","-0,0033","0,9973","0,064","0,225","-0,140","-0,19","3,97","84,97","1,000","30,06","18","True","1,36","True","False","0"
"2026-06-20 15:09:15.774","2,12","True","126,3","820","838","C:\WINDOWS\system32\cmd.exe","1","False","EMERGENCY_STOP","False","10801","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0698","-0,0027","0,9977","0,057","-0,057","-0,079","-0,18","3,97","85,02","1,000","30,04","12","True","1,38","True","False","0"
"2026-06-20 15:09:16.112","2,46","True","131,9","820","838","Drone Avionics Console - Google Chrome","0","False","EMERGENCY_STOP","False","11138","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0694","-0,0026","0,9969","-0,020","-0,019","-0,071","-0,18","3,97","84,94","0,998","30,06","6","True","1,39","True","False","0"
"2026-06-20 15:09:16.473","2,82","True","129,4","939","454","Drone Avionics Console - Google Chrome","0","False","EMERGENCY_STOP","False","11498","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0695","-0,0028","0,9977","0,003","-0,072","-0,010","-0,19","3,97","85,05","1,000","30,04","6","True","1,39","True","False","0"
"2026-06-20 15:09:16.819","3,17","True","130","914","448","Drone Avionics Console - Google Chrome","0","False","EMERGENCY_STOP","False","11844","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0693","-0,0029","0,9981","-0,035","-0,065","-0,140","-0,18","3,97","85,19","1,001","30,04","18","True","1,40","True","False","0"
"2026-06-20 15:09:17.166","3,51","True","128","914","719","Drone Avionics Console - Google Chrome","0","False","EMERGENCY_STOP","False","12191","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0700","-0,0032","0,9979","-0,027","-0,042","-0,102","-0,19","3,98","85,10","1,001","30,04","8","True","1,40","True","False","0"
"2026-06-20 15:09:17.527","3,9","True","153,9","1243","768","Drone Avionics Console - Google Chrome","0","False","EMERGENCY_STOP","False","12553","False","2000","0,00","0,00","0,00","4,39","0,93","137,90","0,69","-0,02","-2,71","-19,96","-4,82","-250,00","2000","1765","2000","1734","True","True","True","100","-0,0707","-0,0035","0,9979","0,034","-0,057","-0,110","-0,19","3,99","84,88","1,001","30,05","18","True","1,42","True","False","0"
